id,name,surname,adress,birthDate,phoneNumber,sex
1,Mariia,Hrytsenko,Kyiv,2016-03-03 00:00:00,380233169784,f
2,Roman,Lysenko,Dnipro,2015-02-13 00:00:00,380552030242,m
3,Daryna,Fedorenko,Frankivsk,2015-01-26 00:00:00,380613933908,f
4,Roman,Sydorenko,Strii,2014-05-11 00:00:00,380017243907,m
5,Halyna,Oleksiyenko,Rivne,2009-06-18 00:00:00,380149573511,f
6,Oleh,Hrytsenko,Dnipro,2008-08-03 00:00:00,380591277153,m
7,Larysa,Antonenko,Frankivsk,2013-09-12 00:00:00,380213061786,f
8,Oleh,Yevdokymenko,Lviv,2007-09-10 00:00:00,380041449940,m
9,Nataliia,Antonenko,Sambir,2015-03-12 00:00:00,380351930542,f
10,Ivan,Fedorenko,Odesa,2012-07-24 00:00:00,380306774069,m
11,Nataliia,Kovalenko,Kyiv,2009-07-21 00:00:00,380062027953,f
12,Yevhen,Pavlenko,Sambir,2008-04-27 00:00:00,380150606475,m
13,Halyna,Pavlenko,Rivne,2007-04-11 00:00:00,380397580216,f
14,Pavlo,Nesterenko,Strii,2011-06-25 00:00:00,380798117879,m
15,Daryna,Romanchuko,Lviv,2016-12-19 00:00:00,380798231796,f
16,Yevhen,Lysenko,Kyiv,2008-02-28 00:00:00,380733920436,m
17,Zhanna,Danylenko,Kyiv,2011-06-11 00:00:00,380864486157,f
18,Oleh,Hrytsenko,Odesa,2010-02-11 00:00:00,380589125164,m
19,Svitlana,Vasylchenko,Sambir,2008-09-02 00:00:00,380420605474,f
20,Oleh,Melko,Kyiv,2014-09-18 00:00:00,380761356370,m
21,Svitlana,Pavlenko,Rivne,2008-01-22 00:00:00,380416328830,f
22,Yevhen,Sydorenko,Dnipro,2016-06-15 00:00:00,380481346353,m
23,Mariia,Vasylchenko,Odesa,2016-11-27 00:00:00,380061757595,f
24,Roman,Kovalenko,Strii,2015-09-15 00:00:00,380052915120,m
25,Halyna,Lysenko,Lviv,2015-11-07 00:00:00,380625015851,f
26,Pavlo,Tkachenko,Kyiv,2014-12-07 00:00:00,380261440456,m
27,Larysa,Kovalko,Kyiv,2016-05-27 00:00:00,380047108840,f
28,Andrii,Hrytsenko,Dnipro,2010-12-27 00:00:00,380161144138,m
29,Veronika,Melko,Kyiv,2008-06-07 00:00:00,380858512891,f
30,Pavlo,Romanchuko,Dnipro,2009-08-21 00:00:00,380952243996,m
31,Halyna,Hrytsenko,Odesa,2007-10-18 00:00:00,380129507002,f
32,Ivan,Balanenko,Kyiv,2015-07-05 00:00:00,380134964841,m
33,Svitlana,Nesterenko,Odesa,2008-10-12 00:00:00,380178314486,f
34,Vitalii,Danylenko,Kyiv,2013-04-06 00:00:00,380227811763,m
35,Zhanna,Kovalenko,Frankivsk,2011-11-21 00:00:00,380795198168,f
36,Fedir,Sydorenko,Kyiv,2010-03-24 00:00:00,380487917512,m
37,Nataliia,Fedorenko,Kyiv,2012-04-28 00:00:00,380682639737,f
38,Vitalii,Hrytsenko,Lviv,2008-07-10 00:00:00,380106848468,m
39,Kateryna,Nesterenko,Kyiv,2016-11-14 00:00:00,380931467353,f
40,Andrii,Ivanchenko,Rivne,2012-07-25 00:00:00,380779278647,m
41,Svitlana,Romanchuko,Kyiv,2008-08-26 00:00:00,380493670509,f
42,Vitalii,Romanchuko,Frankivsk,2009-11-17 00:00:00,380617184124,m
43,Larysa,Balanenko,Kyiv,2014-07-04 00:00:00,380465368662,f
44,Vitalii,Nesterenko,Lviv,2015-07-02 00:00:00,380570925679,m
45,Daryna,Melko,Rivne,2016-07-28 00:00:00,380614803937,f
46,Pavlo,Fedorenko,Lviv,2007-07-29 00:00:00,380830808710,m
47,Kateryna,Kovalenko,Frankivsk,2014-01-24 00:00:00,380177713432,f
48,Bohdan,Kovalenko,Sambir,2007-12-15 00:00:00,380750682704,m
49,Zhanna,Fedorenko,Lviv,2014-12-19 00:00:00,380315891018,f
50,Ivan,Yevdokymenko,Frankivsk,2012-11-11 00:00:00,380157142242,m
51,Zhanna,Balanenko,Frankivsk,2013-11-22 00:00:00,380536853647,f
52,Pavlo,Tkachenko,Sambir,2015-09-10 00:00:00,380958741671,m
53,Daryna,Kovalko,Lviv,2014-01-31 00:00:00,380300712628,f
54,Bohdan,Melko,Odesa,2011-10-27 00:00:00,380194904076,m
55,Veronika,Pavlenko,Frankivsk,2009-08-23 00:00:00,380432131383,f
56,Yevhen,Balanenko,Frankivsk,2007-08-27 00:00:00,380341230584,m
57,Kateryna,Melko,Kyiv,2013-10-31 00:00:00,380804802958,f
58,Andrii,Bilenko,Strii,2011-04-14 00:00:00,380661370550,m
59,Daryna,Oleksiyenko,Rivne,2015-10-02 00:00:00,380223524920,f
60,Oleh,Bilenko,Sambir,2010-02-10 00:00:00,380770600142,m
61,Daryna,Ivanchenko,Lviv,2013-06-29 00:00:00,380970330056,f
62,Pavlo,Fedorenko,Lviv,2013-06-22 00:00:00,380678582386,m
63,Halyna,Usenko,Rivne,2012-04-22 00:00:00,380203314088,f
64,Oleh,Nesterenko,Strii,2010-10-04 00:00:00,380792057570,m
65,Veronika,Yevdokymenko,Lviv,2015-05-07 00:00:00,380321060943,f
66,Yevhen,Antonenko,Dnipro,2012-06-19 00:00:00,380428852752,m
67,Veronika,Danylenko,Frankivsk,2010-08-08 00:00:00,380179498116,f
68,Bohdan,Nesterenko,Strii,2015-01-09 00:00:00,380712266166,m
69,Veronika,Antonenko,Dnipro,2008-09-15 00:00:00,380257974720,f
70,Fedir,Oleksiyenko,Frankivsk,2007-10-23 00:00:00,380201810522,m
71,Mariia,Nesterenko,Strii,2016-12-02 00:00:00,380844203542,f
72,Andrii,Oleksiyenko,Lviv,2007-03-27 00:00:00,380421627788,m
73,Kateryna,Melko,Strii,2015-10-27 00:00:00,380036579280,f
74,Roman,Bilenko,Lviv,2014-03-29 00:00:00,380921443570,m
75,Larysa,Kovalenko,Lviv,2007-09-10 00:00:00,380155042996,f
76,Roman,Sydorenko,Rivne,2014-08-21 00:00:00,380948759047,m
77,Svitlana,Balanenko,Sambir,2008-12-19 00:00:00,380896973183,f
78,Oleh,Kovalenko,Rivne,2007-11-16 00:00:00,380788203627,m
79,Kateryna,Lysenko,Kyiv,2009-03-23 00:00:00,380824460018,f
80,Bohdan,Nesterenko,Lviv,2011-07-19 00:00:00,380416071781,m
81,Nataliia,Sydorenko,Odesa,2009-02-19 00:00:00,380116009851,f
82,Vitalii,Lysenko,Sambir,2011-09-28 00:00:00,380698059289,m
83,Mariia,Melko,Rivne,2013-03-14 00:00:00,380093608768,f
84,Ivan,Fedorenko,Dnipro,2013-01-25 00:00:00,380124588330,m
85,Mariia,Melko,Odesa,2013-09-29 00:00:00,380285935851,f
86,Pavlo,Ivanchenko,Rivne,2016-04-04 00:00:00,380744535951,m
87,Nataliia,Nesterenko,Lviv,2016-02-26 00:00:00,380551184960,f
88,Vitalii,Kovalenko,Strii,2013-02-04 00:00:00,380309113761,m
89,Halyna,Tkachenko,Lviv,2008-08-05 00:00:00,380417901555,f
90,Andrii,Yevdokymenko,Strii,2007-06-26 00:00:00,380927337672,m
91,Daryna,Kovalko,Kyiv,2009-08-10 00:00:00,380221768086,f
92,Oleh,Melko,Frankivsk,2016-06-28 00:00:00,380590877733,m
